fid,dim,iid,rep,obj_value,set_skewness,set_quad_simp_r2,set_fd,set_lin_inter_r2,set_nbc_sd,set_nbc_cor,set_lin_simple_r2,set_quad_inter_r2,cma_skewness,cma_quad_simp_r2,cma_fd,cma_lin_inter_r2,cma_nbc_sd,cma_nbc_cor,cma_lin_simple_r2,cma_quad_inter_r2
4,2,1,0,0.0012427108521557047,0.3910233500593202,0.8351407073471806,0.14766454563425194,0.4989597165781651,0.6315526207407836,0.8891116514718209,0.4963647913669876,0.9519766716079053,1.096725537333305,0.8257277449994164,0.007793577021680778,0.4936911189796338,0.5424893913952334,-0.1429858516960515,0.49385615657584947,0.8996744743098215
4,2,1,1,9.932046958798012e-05,0.3910233500593202,0.8351407073471806,0.14766454563425194,0.4989597165781651,0.6315526207407836,0.8891116514718209,0.4963647913669876,0.9519766716079053,1.3878816598665455,0.836015272811506,0.0076452610488811495,0.5005309089320165,0.5416813791629336,-0.13853945193843348,0.4902790655690723,0.9288042526529908
4,2,1,2,0.00047941077629943564,0.3910233500593202,0.8351407073471806,0.14766454563425194,0.4989597165781651,0.6315526207407836,0.8891116514718209,0.4963647913669876,0.9519766716079053,1.2868136809425257,0.8241071785584438,0.007620189246747935,0.5101839991368746,0.5434004413092735,-0.142118513143371,0.48721230106505387,0.9074456372052665
4,2,1,3,0.000524317233014641,0.3910233500593202,0.8351407073471806,0.14766454563425194,0.4989597165781651,0.6315526207407836,0.8891116514718209,0.4963647913669876,0.9519766716079053,1.2545822701669342,0.8259746345302923,0.0078023327592265925,0.49484988796821694,0.5430889663299967,-0.13913466199955526,0.495829761593235,0.9077324475488956
4,2,1,4,0.000593572784838996,0.3910233500593202,0.8351407073471806,0.14766454563425194,0.4989597165781651,0.6315526207407836,0.8891116514718209,0.4963647913669876,0.9519766716079053,1.3121751468603449,0.8577876417191453,0.007852660978443638,0.4993994992889622,0.5424050673150663,-0.14155668178871272,0.49354474650088587,0.8957947415365833
5,2,1,0,2.190961449369562e-05,0.04632041088616536,1.0,0.6417020314465431,1.0,0.6488451507978085,0.9531492802375267,1.0,1.0,-0.005632529953429031,0.9929593686186363,0.033098943277864536,0.9930989001311875,0.5531984187019499,-0.09837473290734075,0.9928093045931283,0.9947843156035967
5,2,1,1,2.9546443909661835e-05,0.04632041088616536,1.0,0.6417020314465431,1.0,0.6488451507978085,0.9531492802375267,1.0,1.0,-0.007549991299283587,0.9915263807502805,0.033163434320807574,0.991793365882058,0.5532092155974199,-0.09881482045030347,0.9915503230443086,0.9950721897510647
5,2,1,2,3.355747959446622e-05,0.04632041088616536,1.0,0.6417020314465431,1.0,0.6488451507978085,0.9531492802375267,1.0,1.0,-0.004809655003658885,0.9909357086404542,0.03311281209876115,0.9909464085689804,0.5524905971330931,-0.09869053211489656,0.9908930037379271,0.9952848819059077
5,2,1,3,2.5518456217274504e-05,0.04632041088616536,1.0,0.6417020314465431,1.0,0.6488451507978085,0.9531492802375267,1.0,1.0,-0.010597619173425773,0.9925322969054506,0.03317221417920814,0.9925770563460081,0.5529814511929404,-0.09783039468302988,0.9924683263341009,0.994476221682901
5,2,1,4,2.7578947148322113e-05,0.04632041088616536,1.0,0.6417020314465431,1.0,0.6488451507978085,0.9531492802375267,1.0,1.0,-0.008499646322480953,0.9919930418631829,0.03311790544446501,0.9918537214846378,0.5528225407614796,-0.09808568443431452,0.9918392116955069,0.9953295890997522
