fid,dim,iid,rep,obj_value,set_skewness,set_quad_simp_r2,set_fd,set_lin_inter_r2,set_nbc_sd,set_nbc_cor,set_lin_simple_r2,set_quad_inter_r2,cma_skewness,cma_quad_simp_r2,cma_fd,cma_lin_inter_r2,cma_nbc_sd,cma_nbc_cor,cma_lin_simple_r2,cma_quad_inter_r2
10,3,1,7,0.002136119250049153,0.27281287392526776,0.7918856841790859,0.015092206213916581,0.6174676553863578,0.5034015969598381,0.8605262722738497,0.41441760396277555,0.9983462289160016,0.4768967633338318,0.7623993613492207,0.0018727060762286358,0.5771172315989506,0.5813847631186516,-0.1940189810473234,0.4532978365307774,0.9416711653338989
10,3,1,8,0.001577538762051422,0.27281287392526776,0.7918856841790859,0.015092206213916581,0.6174676553863578,0.5034015969598381,0.8605262722738497,0.41441760396277555,0.9983462289160016,0.5943444066537618,0.7618494050692087,0.001656218981197316,0.5889862652334829,0.580849702462843,-0.19245104976972738,0.4416782255894339,0.9440016616131255
10,3,1,9,0.0018747736686901407,0.27281287392526776,0.7918856841790859,0.015092206213916581,0.6174676553863578,0.5034015969598381,0.8605262722738497,0.41441760396277555,0.9983462289160016,0.6147815685441739,0.7597475252228179,0.002290236081265849,0.5754158827056861,0.5812027844842464,-0.19135505907728734,0.45916848907345553,0.9408131067349293
11,3,1,7,0.004297752557519376,0.3038788195507956,0.8634265820890248,0.012876272774720443,0.9213273718106681,0.519125358854632,0.943998611611931,0.7883128844896807,0.9971232805366983,0.3108636578939855,0.872629614452111,0.0017815780586334397,0.8611629831704285,0.5881884330881512,-0.14799003544682546,0.8534895728609675,0.937208423619913
11,3,1,8,0.003663080002390773,0.3038788195507956,0.8634265820890248,0.012876272774720443,0.9213273718106681,0.519125358854632,0.943998611611931,0.7883128844896807,0.9971232805366983,0.37542073041451535,0.8643196284938497,0.0016676722291281835,0.8641361744112395,0.5854461400444041,-0.14390602623379833,0.8354576762288399,0.9397672375115657
11,3,1,9,0.0025804429304277818,0.3038788195507956,0.8634265820890248,0.012876272774720443,0.9213273718106681,0.519125358854632,0.943998611611931,0.7883128844896807,0.9971232805366983,0.5834159547233972,0.8559094592225052,0.0016427230244884725,0.8679753785116384,0.5856151985595468,-0.14784220981344964,0.8262475409385741,0.9488305256530748
12,3,1,7,0.017041133798499458,0.5178973455437705,0.6898803832822885,0.021176324720445998,0.5323814479536605,0.7676226455041066,0.8905590322891948,0.4074176297198773,0.9536694248238133,0.4845062352062339,0.7272463392077513,0.0034319735806658974,0.4775981100707316,0.7210512150101832,-0.1802271920212587,0.4596590016529095,0.8509284060535174
12,3,1,8,0.021241830247407223,0.5178973455437705,0.6898803832822885,0.021176324720445998,0.5323814479536605,0.7676226455041066,0.8905590322891948,0.4074176297198773,0.9536694248238133,0.3631505353776443,0.6475253640535219,0.0033800926107679613,0.5391991738682047,0.7212202026796596,-0.19787043256862186,0.5290549875354608,0.8020554339693078
12,3,1,9,0.026925705421374575,0.5178973455437705,0.6898803832822885,0.021176324720445998,0.5323814479536605,0.7676226455041066,0.8905590322891948,0.4074176297198773,0.9536694248238133,0.19699196787624917,0.6949962133413248,0.004146429284208204,0.5609265603937419,0.7051265283325259,-0.22135813099520266,0.5593493686033795,0.754955678494527
13,3,1,7,9.65898354537603e-05,0.14590534845744565,0.9183965756059037,0.48357699087600053,0.8624526025381274,0.8518698665748564,0.8531823224843724,0.8024676288688908,0.995083010729285,0.13634826639552383,0.9173004391117247,0.040077019860043875,0.848411906895912,0.7732188763269787,-0.19580817825420252,0.8138566586680067,0.9789295821287308
13,3,1,8,8.090883752912494e-05,0.14590534845744565,0.9183965756059037,0.48357699087600053,0.8624526025381274,0.8518698665748564,0.8531823224843724,0.8024676288688908,0.995083010729285,0.20230434721743945,0.9110627313105991,0.040048960640555166,0.8485103105390436,0.7722600632169946,-0.19620550387878702,0.8171226166038179,0.9821687848801769
13,3,1,9,4.5436723119644537e-05,0.14590534845744565,0.9183965756059037,0.48357699087600053,0.8624526025381274,0.8518698665748564,0.8531823224843724,0.8024676288688908,0.995083010729285,0.18329362075606737,0.9140996159941116,0.040033748981375,0.852926414124119,0.7727206711515004,-0.1949982020921491,0.8085806931178732,0.9823776938287118
14,3,1,7,0.023373190755479563,0.4308726052254572,0.6902258650942694,0.019297485082012712,0.7720494264330964,0.885991230604684,0.9293752381553507,0.5156546187581882,0.984397576602648,0.15800047414099963,0.7358993537336659,0.004389067210986124,0.6952039562403511,0.740408603126928,-0.22741021426466276,0.6929098598745738,0.8028460170044032
14,3,1,8,0.021187476867811243,0.4308726052254572,0.6902258650942694,0.019297485082012712,0.7720494264330964,0.885991230604684,0.9293752381553507,0.5156546187581882,0.984397576602648,0.016341393833669313,0.7150456053591094,0.0035486200191643365,0.7039884423161494,0.7569884713705303,-0.21454054552073054,0.6596555967143556,0.8131568510773659
14,3,1,9,0.024393192809319952,0.4308726052254572,0.6902258650942694,0.019297485082012712,0.7720494264330964,0.885991230604684,0.9293752381553507,0.5156546187581882,0.984397576602648,0.09495164793737841,0.7472103090520713,0.005191086246292457,0.679738748340527,0.7303449413553289,-0.22624313647909014,0.6756097860884606,0.7974827474065147
15,3,1,7,0.004643945605304615,0.3000275364243338,0.8512604040278797,0.04279743003857611,0.9204148491582765,0.7583629199897598,0.9537786454679112,0.7872416681623948,0.9910950761101361,0.2490880272977736,0.8832066626067769,0.0042655555576938614,0.8566936342627769,0.7204412617270425,-0.1426541870575814,0.8543702538256235,0.9310075890047732
15,3,1,8,0.004171422883660007,0.3000275364243338,0.8512604040278797,0.04279743003857611,0.9204148491582765,0.7583629199897598,0.9537786454679112,0.7872416681623948,0.9910950761101361,0.24966419575063858,0.8558227024390903,0.0036906079180123344,0.8675572216082023,0.7177443797094252,-0.14242871209818858,0.8421855179010769,0.9304273699176986
15,3,1,9,0.003579042655278891,0.3000275364243338,0.8512604040278797,0.04279743003857611,0.9204148491582765,0.7583629199897598,0.9537786454679112,0.7872416681623948,0.9910950761101361,0.37241336356245264,0.8598871304612966,0.003962426417945339,0.8565649401402764,0.718057272813048,-0.14464580437409533,0.830651629523655,0.9358921200001763
16,3,1,7,1.6389301113981014e-05,0.2690185668863468,0.007645315135089446,0.19494368021485828,0.006578132055343959,0.10694087908546233,0.25270177737669397,0.0033028394903766604,0.019516596637514805,1.1930867514120724,-0.00200703862401852,0.016150688701076464,-0.0004786876133908713,0.358919101998545,-0.5233526644342222,-0.0018158536823917881,-0.0022419364301302647
